Cell;1S;2S;HorzPos;VertPos
11;0;0;0;0
116;0;0;0;0
193;0;1;0;0
194;0;0;0;0
246;1;0;0;0
260;0;0;0;0
320;0;0;0;0
323;0;0;0;0
343;0;0;0;0
351;0;0;0;0
364;0;0;0;0
367;0;0;0;0
378;0;0;0;0
409;0;0;0;1
414;0;0;0;0
418;0;0;0;0
421;0;0;0;0
457;0;0;0;0
483;0;0;0;0
487;0;0;0;0
495;0;0;0;0
497;0;0;0;0
518;0;0;0;0
530;0;0;0;0
554;0;0;0;0
559;0;0;0;0
577;0;0;0;0
596;0;0;0;0
601;0;0;0;0
607;0;0;0;0
613;0;0;0;0
617;0;0;0;0
641;0;0;0;0
642;0;0;0;0
666;0;0;0;0
675;0;0;0;0
678;0;0;0;0
717;0;0;0;0
732;0;0;0;0
733;0;0;0;0
744;0;0;0;0
764;0;0;0;0
767;0;0;0;0
769;0;0;0;0
787;0;0;0;0
797;0;0;0;0
810;0;0;0;0
816;0;0;0;0
830;0;0;0;0
840;0;0;0;0
851;0;0;0;0
854;0;0;0;0
856;0;0;0;0
858;0;0;0;0
860;0;0;0;0
862;0;0;0;0
863;0;0;0;0
874;0;0;0;0
895;0;0;0;0
899;0;0;0;0
905;0;0;0;0
918;0;0;0;0
921;0;0;0;0
933;0;0;0;0
934;0;0;0;0
935;0;0;0;0
964;0;0;0;0
969;0;0;0;0
972;0;0;0;0
976;0;0;0;0
981;0;0;0;0
1006;0;0;0;0
1010;0;0;0;0
1025;0;0;0;0
1037;0;0;0;0
1040;0;0;0;0
1056;0;0;0;0
1058;0;0;0;0
1066;0;0;0;0
1076;0;0;0;0
1087;0;0;0;0
1092;0;0;0;0
1108;0;0;0;0
1119;0;0;0;0
1124;0;0;0;0
1138;0;0;0;0
1208;0;0;0;0
1213;0;1;0;1
1249;0;1;0;0
1337;0;1;0;0
1401;0;0;0;0
1411;0;0;0;0
1412;0;1;0;0
1418;0;0;0;0
1438;0;1;0;0
1444;0;1;0;0
1458;0;0;0;0
1461;0;1;0;0
1470;0;1;0;0
1572;0;0;0;0
1594;0;1;0;0
1651;0;0;0;0
1708;0;0;0;0
1709;0;0;0;0
1710;0;0;0;0
1712;0;0;0;1
1713;0;0;0;0
1714;0;0;0;0
1716;0;0;0;0
1717;0;0;0;0
1718;0;0;0;1
1722;0;1;0;0
1724;0;0;0;0
1726;0;0;0;0
1727;0;0;0;0
1729;0;0;0;0
1741;0;0;0;0
1742;0;0;0;0
1743;0;0;0;0
1746;0;0;0;1
1754;0;0;0;0
1757;0;1;0;0
1758;0;1;0;0
1759;0;0;0;0
1760;0;0;0;0
1762;0;0;0;0
1763;0;0;0;0
1765;0;0;0;0
1767;0;0;0;0
1768;0;0;0;0
1770;0;0;0;0
1772;0;0;0;0
1775;0;0;0;0
1788;0;0;0;0
1790;0;0;0;0
1795;0;0;0;0
1808;0;0;0;1
1809;0;0;0;0
1813;0;0;0;0
1814;0;0;0;0
1820;0;0;0;0
1822;0;0;0;0
1823;0;0;0;0
1824;0;0;0;1
1825;0;0;0;0
1827;0;0;0;1
1832;0;0;0;0
1836;0;0;0;0
1837;0;0;0;0
1840;0;0;0;0
1841;0;0;0;0
1854;0;1;0;0
1856;0;0;0;0
1857;0;0;0;0
1862;0;0;0;0
1863;0;0;0;0
1866;0;0;0;0
1867;0;0;0;0
1870;0;0;0;0
1872;0;0;0;0
1881;0;0;0;0
1882;0;0;0;0
1884;0;0;0;0
1885;0;0;0;0
1888;0;0;0;0
1898;0;0;0;0
1900;0;0;0;0
1901;0;0;0;0
1902;0;0;0;0
1904;0;0;0;0
1906;0;0;0;0
1909;0;0;0;0
1913;0;0;0;0
1914;0;0;0;0
1915;0;1;0;0
1916;0;0;0;0
1918;0;0;0;0
1919;0;0;0;0
1920;0;0;0;0
1921;0;0;0;0
1922;0;0;0;0
1923;0;0;0;0
1927;0;0;0;0
1929;0;0;0;0
1930;0;0;0;0
1932;0;0;0;0
1935;0;0;0;0
1938;0;1;0;0
1939;0;1;0;0
1940;0;0;0;0
1941;0;0;0;0
1947;0;0;0;0
1948;0;1;0;0
1951;0;0;0;0
1954;0;0;0;0
1956;0;0;0;0
1961;0;0;0;0
1966;0;0;0;0
1967;0;0;0;0
1971;0;1;0;0
1972;0;0;0;0
1973;0;0;0;0
1974;0;0;0;0
1975;0;0;0;0
1976;0;0;0;0
1979;0;0;0;0
1981;0;0;0;0
1984;0;0;0;0
1989;0;0;0;0
1990;0;0;0;0
1992;0;0;0;0
1994;0;0;0;0
2001;0;0;0;0
2009;0;0;0;0
2010;0;0;0;0
2012;0;0;0;0
2013;0;0;0;0
2015;0;0;0;0
2019;0;1;0;0
2020;0;0;0;0
2022;0;0;0;0
2023;0;0;0;0
2024;0;0;0;0
2025;0;0;0;0
2026;0;0;0;0
2027;0;0;0;0
2031;0;0;0;0
2033;0;0;0;0
2034;0;0;0;0
2036;0;0;0;0
2039;0;0;0;0
2042;0;1;0;0
2043;0;1;0;0
2044;0;0;0;0
2045;0;0;0;0
2051;0;0;0;0
2052;0;1;0;0
2055;0;0;0;0
2058;0;0;0;0
2060;0;0;0;0
2065;0;0;0;0
2070;0;0;0;0
2071;0;0;0;0
2075;0;1;0;0
2076;0;0;0;0
2077;0;0;0;0
2078;0;0;0;0
2079;0;0;0;0
2080;0;0;0;0
2083;0;0;0;0
2085;0;0;0;0
2088;0;0;0;0
2093;0;0;0;0
2094;0;0;0;0
2096;0;0;0;0
2098;0;0;0;0
2105;0;0;0;0
2113;0;0;0;0
2114;0;0;0;0
2116;0;0;0;0
2117;0;0;0;0
2119;0;0;0;0
2125;0;0;0;0
2129;0;1;0;0
2146;0;1;1;0
2148;0;1;0;0
2166;0;1;0;0
2180;0;0;0;0
2183;0;1;0;0
2193;0;0;0;0
2204;0;0;0;0
2215;0;0;0;0
2231;0;0;0;0
2253;0;0;0;0
2257;0;0;0;0
2265;0;1;0;0
2269;0;0;0;0
2275;0;1;1;0
2281;0;0;0;0
2289;0;1;0;0
2308;0;1;0;0
2321;0;1;0;0
2323;0;1;0;0
2340;0;1;0;0
2341;0;0;0;0
2344;0;0;0;0
2346;0;0;0;0
2350;0;1;0;0
2355;0;1;0;0
2358;0;1;0;0
2360;0;0;0;0
2369;0;0;0;0
2375;0;1;0;0
2380;0;1;0;0
2382;0;1;0;0
2387;0;1;0;0
2399;0;1;1;0
2400;0;1;0;0
2401;0;1;0;0
2408;0;1;0;0
2409;0;0;0;0
2410;0;1;1;0
2412;0;1;0;0
2416;0;0;0;0
2425;0;1;0;0
2428;0;1;1;0
2439;0;1;0;0
2443;0;1;0;0
2445;0;1;0;0
2448;0;1;0;0
2449;0;1;0;0
2456;0;1;0;0
2462;0;1;0;0
2464;0;0;0;0
2467;0;1;0;0
2471;0;1;1;0
2478;0;1;1;0
2486;0;1;0;0
2516;0;1;1;0
2518;0;1;0;0
2538;0;1;0;0
2539;0;1;0;0
2542;0;1;0;0
2546;0;1;0;0
2547;0;0;0;0
2548;0;1;0;0
2552;0;1;0;0
2554;0;1;0;0
2555;0;1;0;0
2556;0;1;0;0
2560;0;1;0;0
2561;0;1;0;0
2564;0;1;0;0
2568;0;1;0;0
2570;0;1;0;0
2575;0;1;0;0
2584;0;1;1;0
2585;0;1;0;0
2586;0;1;1;0
2590;0;1;0;0
2591;0;1;0;0
2592;0;1;0;0
2594;0;1;0;0
2596;0;1;1;0
2599;0;1;0;0
2608;0;1;0;0
2609;0;1;0;0
2611;0;1;0;0
2614;0;0;0;0
2621;0;1;1;0
2622;0;1;1;0
2628;0;1;0;0
2632;0;1;0;0
2633;0;1;1;0
2639;0;0;0;0
2640;0;1;0;0
2643;0;1;1;0
2652;0;1;0;0
2655;0;1;0;0
2656;0;1;0;0
2663;0;1;0;0
2666;0;1;0;0
2668;0;1;0;0
2669;0;1;1;0
2671;0;1;1;0
2672;0;1;0;0
2675;0;1;0;0
2677;0;1;0;0
2680;0;1;0;0
2683;0;1;0;0
2685;0;1;0;0
2691;0;0;0;0
2694;0;1;1;0
2697;0;1;0;0
2704;0;1;0;0
2706;0;1;0;0
2707;0;1;1;0
2709;0;1;0;0
2715;0;1;0;0
2716;0;1;0;0
2719;0;1;0;0
2722;0;1;1;0
2726;0;1;0;0
2729;0;1;0;0
2730;0;1;1;0
2731;0;1;0;0
2736;0;1;0;0
2737;0;1;0;0
2743;0;1;0;0
2744;0;1;0;0
2745;0;1;1;0
2748;0;1;0;0
2749;0;1;0;0
2751;0;1;1;0
2752;0;1;1;0
2753;0;1;0;0
2757;0;1;1;0
2760;0;1;0;0
2764;0;1;0;0
2765;0;0;1;0
2766;0;1;0;0
2769;0;1;0;0
2770;0;1;1;0
2772;0;1;0;0
2775;0;1;1;0
2776;0;1;0;0
2777;0;1;0;0
2778;0;1;0;0
2781;0;1;0;0
2782;0;1;1;0
2783;0;1;0;0
2785;0;1;0;1
2791;0;1;0;0
2792;0;1;0;0
2796;0;1;1;0
2802;0;1;1;0
2805;0;1;1;0
2810;0;1;0;0
2812;0;1;0;0
2815;0;1;0;0
2818;0;1;0;0
2822;0;1;0;0
2823;0;1;0;0
2824;0;1;0;0
2826;0;1;0;0
2827;0;1;1;0
2830;0;1;1;0
2831;0;1;1;0
2832;0;0;1;0
2834;0;1;0;0
2836;0;1;0;0
2837;0;0;0;0
2843;0;1;1;0
2845;0;1;0;0
2847;0;1;0;0
2848;0;1;1;0
2855;0;1;0;0
2857;0;1;1;0
2860;0;1;1;0
2861;0;1;1;0
2863;0;1;0;0
2866;0;1;0;0
2870;0;1;0;0
2872;0;1;1;0
2874;0;1;0;0
2877;0;1;1;0
2878;0;1;0;0
2879;0;1;0;0
2882;0;1;1;0
2883;0;1;0;0
2888;0;1;0;0
2889;0;1;0;0
2890;0;1;0;0
2893;0;1;0;0
2894;0;1;0;0
2895;0;1;0;0
2897;0;1;0;0
2899;0;1;0;0
2900;0;1;0;0
2903;0;1;0;0
2905;0;1;0;1
2906;0;1;0;0
2911;0;0;0;0
2912;0;1;0;0
2913;0;1;0;0
2916;0;0;0;0
2917;0;1;0;0
2919;0;1;0;0
2920;0;1;0;0
2923;0;1;0;0
2925;0;1;1;0
2927;0;1;1;0
2928;0;1;0;0
2929;0;1;0;0
2931;0;1;0;0
2934;0;1;1;0
2935;0;1;1;0
2936;0;1;0;0
2938;0;1;0;0
2940;0;1;0;0
2943;0;1;0;0
2945;0;1;0;0
2947;0;1;0;0
2950;0;1;0;0
2952;0;1;0;0
2954;0;1;0;0
2955;0;1;1;0
2959;0;1;1;0
2967;0;1;0;0
2968;0;0;0;0
2970;0;1;1;0
2972;0;1;0;0
2974;0;1;0;1
2976;0;1;1;0
2977;0;1;0;0
2978;0;1;1;0
2981;0;1;1;0
2986;0;0;0;0
2987;0;1;0;1
2988;0;1;0;0
2989;0;1;1;0
2991;0;1;0;0
2992;0;1;0;0
2998;0;1;1;0
3003;0;1;0;0
3006;0;1;0;0
3007;0;1;1;0
3008;0;1;0;0
3012;0;1;1;0
3013;0;1;0;0
3019;0;1;0;1
3020;0;1;0;0
3024;0;1;0;0
3025;0;0;0;0
3026;0;1;0;0
3028;0;1;0;0
3029;0;1;1;0
3030;0;1;0;0
3031;0;1;0;0
3033;0;1;0;0
3038;0;1;0;1
3040;0;1;0;0
3042;0;1;0;0
3043;0;1;0;1
3044;0;1;1;0
3046;0;1;0;0
3048;0;0;0;0
3049;0;1;1;0
3050;0;1;0;0
3054;0;1;1;0
3055;0;1;0;0
3059;0;1;0;0
3062;0;1;0;0
3064;0;1;0;0
3065;0;1;0;0
3066;0;1;0;0
3067;0;1;0;0
3068;0;1;0;0
3069;0;1;1;0
3070;0;1;0;0
3075;0;1;0;0
3076;0;1;0;0
3077;0;1;0;0
3079;0;1;1;0
3080;0;1;1;0
3081;0;1;0;0
3085;0;0;0;0
3086;0;1;0;0
3087;0;1;0;0
3090;0;1;0;0
3092;0;1;0;0
3093;0;0;0;0
3095;0;1;0;0
3101;0;1;0;0
3106;0;1;1;0
3111;0;1;0;0
3112;0;1;0;0
3114;0;1;1;0
3116;0;1;0;0
3118;0;1;1;0
3120;0;1;1;0
3121;0;1;0;0
3124;0;1;0;0
3129;0;1;1;0
3132;0;1;0;0
3135;0;1;1;0
3136;0;1;0;0
3138;0;1;0;0
3141;0;1;1;0
3142;0;1;0;0
3143;0;1;0;0
3147;0;1;0;0
3149;0;1;1;0
3150;0;1;0;0
3151;0;0;1;0
3152;0;1;1;0
3156;0;1;1;0
3157;0;1;0;0
3158;0;1;0;0
3159;0;1;0;0
3160;0;1;0;0
3161;0;1;1;0
3166;0;1;0;0
3169;0;1;0;0
3174;0;1;0;0
3177;0;1;0;0
3178;0;1;0;0
3180;0;1;0;0
3184;0;1;0;0
3185;0;1;0;0
3186;0;1;1;0
3188;0;1;1;0
3193;0;0;0;0
3197;0;1;0;0
3198;0;1;0;0
3200;0;1;0;0
3201;0;1;0;0
3202;0;1;0;0
3205;0;1;0;0
3207;0;1;0;0
3210;0;1;0;0
3212;0;1;1;0
3214;0;1;0;0
3216;0;1;1;0
3218;0;1;0;0
3220;0;1;0;0
3226;0;1;0;0
3227;0;1;1;0
3229;0;1;0;0
3233;0;1;0;0
3236;0;1;0;0
3237;0;1;0;0
3238;0;1;0;0
3241;0;1;1;0
3248;0;1;0;0
3250;0;1;0;0
3252;0;1;0;0
3254;0;1;1;0
3258;0;1;0;0
3263;0;1;0;0
3266;0;1;0;0
3267;0;1;1;0
3268;0;1;0;0
3275;0;1;0;0
3276;0;1;0;0
3278;0;1;1;0
3289;0;0;0;0
3293;0;0;0;1
3296;0;0;0;0
3297;0;0;0;0
3304;0;0;0;0
3314;0;0;1;0
3321;0;1;1;0
3325;0;0;0;0
3327;0;0;0;0
3329;0;0;0;0
3336;0;0;0;0
3337;0;1;0;0
3346;1;0;0;0
3358;0;1;0;0
3366;0;0;0;0
3367;0;1;0;0
3380;0;0;1;0
3394;0;0;0;0
3397;0;0;0;0
3400;0;1;1;0
3403;0;0;0;0
3411;0;0;0;0
3413;0;0;0;0
3419;0;1;1;0
3424;0;0;0;0
3430;0;0;1;0
3436;0;0;0;0
3448;0;1;0;0
3450;0;0;0;0
3452;0;1;0;0
3458;0;0;0;0
3462;0;1;1;0
3463;0;1;0;0
3482;0;1;1;0
3483;0;1;0;1
3486;0;0;0;0
3489;0;1;0;0
3495;0;0;0;0
3499;0;1;0;0
3500;0;0;0;0
3504;0;0;0;0
3507;0;1;0;0
3510;0;1;0;0
3513;0;0;0;0
3516;0;1;1;0
3521;0;0;1;0
3523;0;0;0;0
3524;0;0;0;0
3529;0;0;0;0
3557;0;1;0;1
3560;0;0;0;0
3562;0;0;0;0
3570;0;1;0;0
3573;0;0;0;0
3576;0;1;0;0
3583;0;1;0;0
3586;0;0;0;0
3589;0;1;0;0
3594;0;0;0;1
3617;0;1;0;0
3619;0;0;0;0
3625;0;1;0;0
3626;0;1;0;0
3629;0;1;0;0
3630;0;1;0;0
3631;0;1;0;0
3633;0;1;0;0
3635;0;1;0;0
3639;0;1;0;0
3640;0;0;0;0
3652;0;1;1;0
3659;0;1;1;0
3660;0;0;0;0
3661;0;1;0;0
3662;0;0;0;0
3663;0;1;0;0
3664;0;1;0;0
3669;0;0;1;0
3674;0;1;1;0
3678;0;0;0;0
3681;0;0;0;0
3690;0;0;0;0
3692;0;1;0;0
3694;0;1;0;0
3698;0;0;0;0
3700;0;0;0;0
3701;0;1;0;0
3703;0;1;0;0
3706;0;1;0;0
3707;0;1;0;0
3719;0;0;0;0
3730;0;0;0;0
3732;0;1;0;0
3738;0;1;0;0
3743;0;0;0;0
3744;0;0;0;0
3747;0;0;0;0
3748;0;1;0;0
3750;0;0;0;0
3753;0;0;1;0
3758;0;0;0;0
3761;0;1;0;0
3766;0;1;0;0
3771;0;1;1;0
3776;0;1;0;0
3777;0;1;1;0
3778;0;1;1;0
3782;0;0;0;0
3787;0;1;0;0
3795;0;1;1;0
3805;0;1;0;0
3817;0;1;1;0
3818;0;0;0;0
3837;0;1;0;0
3838;0;1;0;0
3848;0;0;0;0
3856;0;1;0;0
3862;0;1;0;0
3863;0;1;0;0
3872;0;1;0;0
3880;0;1;0;0
3881;0;0;0;0
3895;0;1;0;0
3900;0;1;1;0
3903;0;1;0;0
3927;0;1;0;0
3928;0;1;0;0
3937;0;1;0;0
3947;0;0;1;0
3952;0;1;0;0
3955;0;1;1;0
3956;0;1;0;0
3965;0;1;0;0
3970;0;0;0;0
3982;0;1;0;0
3996;0;1;1;0
3998;0;1;0;0
4012;0;0;0;0
4013;0;0;0;0
4024;0;0;0;0
4030;0;0;0;0
4064;0;0;0;0
4079;0;0;0;0
4265;0;0;0;0
4283;0;0;0;0
4284;0;0;0;0
4332;0;1;0;0
4412;0;0;0;0
4444;0;0;0;0
4450;0;0;0;0
4451;0;0;0;0
4498;0;0;0;0
4500;0;0;0;0
4516;0;0;0;0
4533;0;1;0;0
4537;0;1;0;0
4542;0;1;0;0
4555;0;1;0;0
4560;0;0;0;0
4561;0;0;0;0
4595;0;0;0;1
4603;0;0;0;0
4612;0;0;0;0
4649;0;0;0;0
4653;0;0;0;0
4677;0;0;0;0
4687;0;0;0;0
4695;0;0;0;0
4711;0;1;0;0
4730;0;0;0;0
4770;0;0;0;0
4771;0;0;0;0
4785;0;0;0;0
4786;0;1;0;0
4790;0;1;0;0
4813;0;0;0;1
4817;0;1;0;0
4841;0;1;0;0
4865;0;0;0;0
4868;0;0;0;0
4909;0;1;0;0
4912;0;0;0;0
4919;0;0;0;0
4920;0;0;0;0
4933;0;0;0;0
4948;0;0;0;0
4955;0;1;0;0
4959;0;0;0;0
4965;0;1;0;0
4981;0;0;0;0
4983;0;1;0;0
4989;0;1;0;0
4999;0;0;0;0
5010;0;1;0;0
5017;0;1;0;0
5022;0;1;0;0
5045;0;0;0;0
5058;0;1;0;0
5065;0;0;0;0
5075;0;0;0;0
5081;0;0;0;0
5083;0;0;0;0
5102;0;1;0;0
5106;0;0;0;0
5158;0;1;1;0
5184;0;0;0;0
5210;0;1;0;0
5213;0;1;1;0
5221;0;1;0;0
5235;0;1;0;0
5264;0;1;1;0
5301;0;0;0;0
5324;0;1;0;0
5333;0;1;0;0
5353;0;1;0;0
5360;0;0;1;0
5374;0;0;0;0
5383;0;0;0;0
5412;0;0;0;0
5422;0;1;0;0
5501;0;1;0;0
5510;0;1;0;0
5522;0;1;0;0
5559;0;1;0;0
5562;0;1;0;0
5565;0;1;1;0
5567;0;1;0;0
5576;0;0;0;0
5584;0;1;1;0
5608;0;1;0;0
5612;0;0;0;0
5653;0;1;1;0
5767;0;0;1;0
5773;0;1;0;0
5832;0;1;0;0
5858;0;1;0;0
5881;0;1;0;0
5910;0;0;0;1
5980;0;1;0;0
6012;0;0;0;0
6074;0;1;0;0
6087;0;1;0;0
6105;0;0;0;0
6139;0;1;0;0
6188;0;0;0;0
6284;0;1;0;0
6321;0;1;0;0
6371;0;1;0;0
6418;0;0;0;0
6488;0;0;0;0
6489;0;1;0;0
6567;0;1;0;0
6575;0;0;1;0
6579;0;0;0;0
6594;0;0;0;0
6614;0;1;0;0
6627;0;1;0;0
6635;0;1;0;0
6679;0;1;0;0
6690;0;1;0;0
6691;0;1;0;0
6693;0;0;1;0
6702;0;0;0;0
6706;0;1;0;0
6709;0;0;0;0
6742;0;1;0;0
6744;0;0;0;0
6771;0;0;1;0
6773;0;0;0;0
6779;0;0;0;0
6799;0;1;1;0
6815;0;0;0;0
6822;0;0;0;0
6868;0;0;0;0
6872;0;0;0;0
6920;0;0;0;0
6953;0;0;0;0
7021;0;0;1;0
7023;0;1;0;0
7025;0;0;1;0
7026;0;1;0;0
7027;0;1;1;0
7037;0;1;0;0
7042;0;1;0;0
7043;0;1;0;0
7072;0;1;0;0
7122;0;0;0;0
7132;0;0;0;0
7148;0;0;0;0
7196;0;1;1;0
7315;0;0;1;0
7471;0;1;1;0
7472;0;1;0;0
7475;0;1;0;0
7489;0;1;0;0
7514;0;1;1;0
7523;0;0;0;0
7538;0;0;1;0
7582;0;0;0;0
7649;0;0;0;0
7663;0;1;0;0
7693;0;0;0;0
7768;0;0;0;0
7802;0;1;0;0
7819;0;0;0;0
7900;0;1;0;0
7982;0;1;1;0
8017;0;1;0;0
8206;0;0;0;0
8287;0;0;0;0
8382;0;0;0;0
8401;0;0;0;0
8440;0;0;0;0
8920;0;0;1;0
9052;0;0;0;0
9111;0;1;0;0
9126;1;0;0;0
9150;0;0;0;0
9220;0;0;0;0
9306;0;0;0;0
9319;0;0;0;0
9390;0;0;0;0
9447;0;1;0;0
9523;0;0;0;0
9528;0;0;0;1
9662;0;0;0;0
9720;0;1;0;0
9863;0;1;1;0
9888;0;0;0;0
9944;0;0;0;0
9979;0;0;0;0
10027;0;0;0;0
10107;0;0;0;0
10157;0;1;1;0
10163;0;0;0;0
10170;0;1;0;0
10181;0;0;0;0
10193;0;0;0;0
10225;0;1;1;0
10237;0;0;0;0
10263;0;0;0;0
10265;0;0;0;0
10276;0;0;0;0
10280;0;0;0;0
10300;0;0;0;0
10314;0;0;0;0
10332;0;0;0;0
10388;0;1;0;0
10446;0;1;0;0
10468;0;1;1;0
10501;0;1;0;0
10519;0;0;0;0
10524;0;0;0;0
10542;0;0;0;0
10553;0;1;0;1
10571;0;1;0;0
10587;0;0;0;1
10602;0;0;1;0
10603;0;0;0;0
10621;0;1;0;0
10625;0;0;0;0
10633;0;0;0;0
10697;0;1;0;0
10710;0;0;0;0
10750;0;0;0;0
10763;0;0;0;0
10807;0;1;0;0
10830;0;0;0;0
10840;0;0;0;0
10841;0;1;0;0
10848;0;1;0;0
10876;0;0;0;0
10878;0;1;0;0
10879;0;1;0;0
10890;0;0;0;0
10910;0;1;0;0
10930;0;0;0;1
10932;0;0;0;0
10933;0;0;0;0
10937;0;0;0;0
10944;0;1;0;0
10948;0;1;0;0
10950;0;1;0;0
10954;0;1;0;0
10959;0;0;0;0
10965;0;1;0;0
10967;0;0;0;0
10979;0;0;0;0
10989;0;1;0;0
10993;0;0;0;0
11020;0;0;0;0
11045;0;0;0;0
11052;0;0;0;0
11056;0;1;0;1
11061;0;1;1;0
11070;0;0;0;0
11096;0;0;0;0
11108;0;0;0;0
11635;0;0;0;0
12168;0;0;0;0
12226;0;0;0;0
12228;0;0;0;0
12485;0;0;0;0
12803;0;0;0;0
12849;0;0;0;0
12873;0;0;0;0
12907;0;0;0;0
12915;0;0;0;0
12945;0;0;0;0
12961;1;0;0;0
12978;0;0;0;0
13092;0;0;0;0
13128;0;0;0;0
13232;0;0;0;0
13272;0;0;0;0
13308;0;0;0;0
13319;0;0;0;0
13331;1;0;0;0
13359;0;0;0;0
13438;0;0;0;0
13468;0;0;0;0
13472;0;0;0;0
13477;1;0;0;0
13580;0;0;0;0
13583;0;0;0;0
13605;1;0;0;1
13607;0;0;0;0
13626;0;0;0;0
13627;0;0;0;0
13629;1;0;0;0
13636;0;0;0;0
13640;0;1;0;0
13646;0;0;0;0
13653;0;0;0;1
13674;0;0;0;0
13713;0;0;0;0
13714;0;0;0;0
13721;0;0;0;1
13727;0;0;0;0
13742;0;0;0;0
13748;0;0;0;0
13773;0;0;0;0
13790;0;0;0;0
13821;0;0;0;0
13838;0;0;0;0
13850;0;0;0;0
13868;0;0;0;0
13912;0;0;0;0
13913;0;0;0;0
13919;0;0;0;0
13932;0;0;0;0
13940;1;0;0;0
13954;0;0;0;0
13956;0;1;1;0
13959;0;0;0;0
13968;0;0;0;0
13981;0;0;0;0
13985;0;1;0;0
14146;0;0;0;0
14165;0;0;0;0
14235;0;1;0;0
14238;0;1;1;0
14240;0;1;1;0
14256;0;0;0;0
14297;0;0;0;0
14313;0;0;0;0
14350;0;0;0;0
14360;0;0;0;0
14475;0;0;0;0
14488;0;0;1;0
14493;0;0;0;1
14500;0;0;0;1
14506;0;1;1;0
14530;0;0;0;0
14534;0;0;0;0
14537;0;0;0;0
14544;0;0;0;0
14549;0;0;0;0
14568;0;0;0;0
14628;0;0;0;0
14718;0;0;0;0
14766;0;0;0;0
14780;0;1;0;0
14781;0;0;1;0
14785;0;1;0;0
14796;0;0;0;0
14805;0;0;0;0
14817;0;0;0;0
14827;0;0;0;0
14854;0;1;0;0
14857;0;0;0;0
14870;0;0;0;0
14884;0;1;0;0
14891;0;0;0;0
14931;0;0;0;0
14949;0;0;0;0
14967;0;0;0;0
14975;0;0;0;0
14988;0;1;1;0
15001;0;0;0;0
15017;0;0;0;0
15120;0;0;0;0
15457;0;0;0;0
15491;0;0;0;0
15634;0;0;0;0
15756;0;0;0;0
15760;0;0;1;0
15766;0;0;0;0
15793;0;0;0;0
15795;0;0;0;0
15835;0;1;0;0
15860;0;0;0;0
15920;0;0;0;0
15953;0;1;0;0
15995;0;0;0;0
16003;0;0;1;0
16008;0;0;0;0
16009;0;0;0;0
16010;0;0;0;0
16019;0;1;0;0
16027;0;0;0;0
16060;0;1;1;0
16081;0;0;0;0
16106;0;0;0;0
16112;0;0;0;0
16161;0;0;0;0
16227;0;0;1;0
16295;0;0;1;0
16350;0;0;0;1
16351;0;0;0;0
16410;0;0;0;0
