Cell;1S;2S;HorzPos;VertPos
16429;0;0;0;0
16435;0;0;0;0
16461;0;1;0;1
16679;0;0;0;0
16734;0;0;0;0
16736;0;1;1;0
16740;0;1;0;1
16744;0;1;0;0
16793;0;0;0;0
16808;0;0;0;0
16829;0;0;0;0
16883;0;0;0;1
16907;0;1;0;0
16982;0;0;0;0
16997;0;0;0;0
17104;0;1;0;0
17122;0;1;1;0
17134;0;0;0;0
17155;0;1;0;0
17158;0;1;0;0
17168;0;0;0;0
17181;0;0;0;0
17187;0;0;1;0
17200;0;1;0;0
17207;0;0;0;0
17246;0;1;0;0
17259;0;1;0;0
17274;0;1;0;0
17275;0;0;0;0
17283;0;0;0;0
17285;0;1;1;0
17293;0;0;0;0
17319;0;0;0;0
17340;0;1;0;0
17409;0;1;0;0
17453;0;0;0;0
17486;0;1;0;0
17492;0;1;1;0
17501;0;1;0;0
17507;0;1;1;0
17516;0;1;0;0
17521;0;0;0;0
17522;0;1;1;0
17528;0;1;0;0
17557;0;0;0;0
17572;0;1;0;0
17581;0;0;0;0
17594;0;1;0;0
17603;0;1;0;0
17615;0;1;0;0
17616;0;0;0;0
17650;0;0;0;0
17655;0;1;0;0
17662;0;1;1;0
17667;0;1;1;0
17673;0;1;0;0
17680;0;1;0;0
17698;0;1;0;0
17706;0;1;0;0
17773;0;1;0;0
17835;0;0;0;0
17845;0;0;0;0
17853;0;0;0;0
17929;0;1;1;0
17935;0;1;0;0
17937;0;0;1;0
17971;0;0;1;0
17974;0;1;1;0
18002;0;0;0;0
18014;0;1;1;0
18039;0;1;0;0
18046;0;0;0;0
18053;0;0;0;0
18083;0;0;1;0
18090;0;0;0;0
18147;0;1;0;0
18150;0;0;0;0
18161;0;0;0;0
18167;0;1;0;0
18171;0;0;0;0
18231;0;0;0;0
18256;0;0;1;0
18267;0;1;0;0
18321;0;1;1;0
18330;0;0;1;0
18337;0;0;0;0
18341;0;1;0;0
18368;0;0;1;0
18384;0;0;0;0
18402;0;0;0;0
18408;0;0;0;0
18417;0;0;0;0
18427;0;0;1;0
18433;0;0;1;0
18439;0;0;0;0
18442;0;1;0;0
18447;0;1;0;0
18450;0;0;0;0
18456;0;0;0;0
18459;0;1;0;1
18473;0;0;0;0
18498;0;1;0;0
18499;1;0;1;0
18519;0;0;0;0
18548;0;1;0;0
18562;0;0;1;0
18576;0;0;0;0
18607;0;1;1;0
18623;0;0;0;0
18627;1;0;1;0
18662;0;0;0;0
18683;0;1;1;0
18689;0;0;1;0
18691;0;0;1;0
18700;0;1;1;0
18729;0;1;1;0
18735;0;0;0;0
18780;0;1;1;0
18785;0;1;0;0
18829;0;1;1;0
18836;0;0;1;0
18839;0;0;1;0
18863;0;1;0;0
18908;0;1;1;0
18915;0;0;0;0
18947;0;1;0;0
18950;0;0;0;0
18972;0;1;0;0
18981;0;0;0;0
18982;0;0;0;0
18991;0;0;1;0
18997;0;1;0;0
19003;0;1;0;1
19011;0;0;1;0
19015;0;0;0;0
19016;0;0;0;0
19041;0;0;1;0
19043;0;0;0;0
19049;0;1;1;0
19053;0;1;1;0
19062;0;1;0;0
19085;0;0;1;0
19111;1;0;0;0
19115;0;1;0;0
19116;0;0;1;0
19117;0;0;1;0
19120;0;0;0;0
19132;0;0;1;0
19159;0;0;1;0
19164;0;1;0;1
19195;0;1;0;0
19198;0;0;0;0
19221;0;0;0;0
19229;0;0;0;0
19235;0;1;1;0
19240;0;1;0;0
19256;0;0;0;0
19262;0;1;0;0
19271;0;0;0;0
19281;0;0;0;0
19288;0;0;0;0
19291;0;0;0;0
19300;0;1;0;0
19315;0;1;0;0
19322;0;1;0;0
19334;0;0;0;0
19336;0;0;0;0
19340;0;0;0;0
19350;1;0;0;0
19352;0;0;0;0
19360;0;0;0;0
19362;0;0;0;0
19366;0;0;0;0
19376;0;0;0;0
19378;0;0;0;0
19380;0;0;0;0
19389;0;0;0;0
19396;0;0;0;0
19404;0;0;0;0
19413;0;0;0;0
19414;0;0;0;0
19437;0;0;0;0
19438;0;0;0;0
19443;0;0;0;0
19446;0;0;0;0
19454;0;0;0;0
19470;0;0;0;0
19473;0;0;0;0
19474;0;0;0;0
19475;0;0;0;0
19489;0;0;0;0
19490;0;0;0;0
19497;0;0;0;0
19509;0;0;0;0
19523;0;0;0;0
19525;0;0;0;0
19526;0;0;0;1
19533;0;0;0;0
19534;0;0;0;0
19535;0;0;0;1
19539;0;0;0;0
19552;0;0;0;0
19554;0;0;0;0
19571;0;0;0;0
19573;0;0;0;0
19587;0;0;0;0
19599;0;0;0;0
19619;0;0;0;0
19626;0;0;0;0
19632;0;0;0;0
19659;0;0;0;0
19660;0;0;0;0
19667;0;0;0;0
19673;0;0;0;0
19679;0;0;0;0
19683;0;0;0;1
19684;0;0;0;0
19695;0;0;0;0
19697;0;0;0;1
19699;0;0;0;0
19703;0;0;0;0
19706;0;0;0;0
19715;0;0;0;0
19719;0;0;0;0
19721;0;0;0;0
19748;0;0;0;0
19752;0;0;0;0
19767;0;0;0;0
19769;0;0;0;0
19775;0;0;0;0
19805;0;0;0;0
19831;0;0;0;0
19832;0;0;0;0
19838;0;0;0;0
19841;0;0;0;0
19842;0;0;0;0
19845;0;0;0;0
19863;0;0;0;0
19870;0;0;0;0
19877;0;0;0;0
19880;0;0;0;0
19882;0;0;0;0
19883;0;0;0;0
19885;0;0;0;0
19887;0;0;0;0
19889;0;0;0;0
19891;0;0;0;0
19919;0;0;0;0
19946;0;1;0;0
19950;0;0;0;0
19956;0;0;0;0
19975;0;0;0;0
19983;0;0;0;0
19985;0;0;0;0
20001;0;0;0;0
20004;0;0;0;0
20012;0;0;0;0
20029;0;0;0;0
20032;0;0;0;0
20034;0;0;0;0
20041;0;0;0;0
20084;0;0;0;0
20100;0;0;0;0
20122;0;0;0;0
20141;0;0;0;0
20153;0;0;0;0
20159;0;0;0;0
20163;0;0;0;0
20166;0;0;0;0
20171;0;0;0;0
20178;0;0;0;0
20193;0;0;0;0
20212;0;0;0;0
20256;0;0;0;0
20259;0;0;0;0
20276;0;0;0;0
20282;0;0;0;0
20284;0;0;0;0
20286;0;0;0;0
20287;0;0;0;0
20290;0;0;0;0
20293;0;0;0;0
20297;0;0;0;0
20325;0;0;0;0
20346;0;0;0;0
20362;0;0;0;0
20363;0;0;0;0
20366;0;0;0;0
20367;0;0;0;0
20370;0;0;0;0
20388;0;0;0;0
20414;0;0;0;0
20416;0;0;0;0
20419;0;0;0;0
20427;0;0;0;0
20429;0;0;0;0
20454;0;0;0;0
20470;0;0;0;0
20471;0;0;0;0
20478;0;0;0;0
20479;0;0;0;0
20480;0;0;0;0
20488;0;0;0;0
20500;0;0;0;0
20529;0;0;0;0
20533;0;0;0;0
20620;0;1;0;0
20650;0;0;0;0
20664;0;0;0;0
20693;0;0;0;0
20762;0;0;0;0
20788;0;0;0;0
20947;0;0;0;0
20957;0;0;0;0
20967;0;0;0;0
20982;0;0;0;0
20987;0;0;0;0
20995;0;0;0;0
21006;1;0;0;0
21009;0;0;0;0
21030;0;0;0;0
21031;0;0;0;0
21067;0;0;0;0
21081;0;0;0;0
21094;0;0;0;0
21099;0;0;0;0
21118;0;0;0;0
21157;0;0;0;0
21161;0;0;0;0
21188;0;0;0;0
21189;0;0;0;0
21192;0;0;0;0
21196;0;0;0;0
21198;0;0;0;0
21223;0;0;0;0
21224;0;0;0;0
21240;0;0;0;0
21242;0;0;0;0
21246;0;0;0;0
21252;0;0;0;0
21260;0;0;0;0
21265;0;0;0;0
21266;0;0;0;0
21356;0;0;0;0
21359;0;0;0;0
21379;0;0;0;0
21385;0;0;0;0
21392;0;0;0;0
21395;0;0;0;0
21397;0;0;0;0
21417;0;0;0;0
21424;0;1;0;0
21426;0;1;0;0
21434;0;0;0;0
21498;0;0;1;0
21501;0;0;0;0
21521;0;0;0;0
21548;0;0;0;0
21575;0;0;0;0
21601;0;0;0;0
21611;0;0;0;1
21614;0;0;0;0
21618;0;1;0;0
21652;0;1;0;0
21656;0;0;0;0
21678;0;0;0;1
21683;0;0;0;0
21689;0;0;0;0
21716;0;0;0;0
21738;0;0;0;0
21762;0;0;0;0
21784;0;0;0;0
21794;0;0;0;0
21804;0;0;0;0
21814;0;0;0;0
21824;0;0;0;0
21832;0;0;0;0
21841;0;0;0;0
21865;0;0;0;0
21868;0;0;0;0
21885;0;0;0;0
21914;0;0;0;0
21918;0;0;0;0
21921;0;0;0;0
21947;0;0;0;0
22037;0;1;0;0
22184;0;0;0;0
22241;0;0;0;0
22291;0;0;1;0
22324;0;0;0;0
22325;0;1;0;0
22423;0;0;0;0
22426;0;1;0;0
22530;0;0;0;0
22547;0;0;0;0
22558;0;1;0;0
22579;0;0;0;0
22614;0;0;0;0
22620;0;0;0;0
22630;0;0;0;0
22634;0;0;0;0
22640;0;1;0;0
22655;0;1;0;0
22702;0;1;1;0
22754;0;0;0;0
22759;0;0;0;1
22774;0;0;0;1
22804;0;0;1;0
22807;0;0;0;0
22813;0;1;0;0
22835;0;0;0;0
22837;0;0;0;0
22856;0;0;0;0
22858;0;1;0;0
22873;0;0;0;0
22887;0;1;1;0
22902;0;1;0;0
22912;0;1;0;0
22915;0;1;0;0
22935;0;0;0;0
22942;0;0;0;0
22980;0;0;0;0
22984;0;0;0;0
22985;0;0;0;0
22988;0;1;0;0
23005;0;0;0;0
23017;0;0;0;0
23020;0;1;0;0
23021;0;0;0;0
23024;0;1;0;0
23037;0;0;0;0
23038;0;0;0;0
23051;0;0;1;0
23055;0;0;0;1
23056;0;1;1;0
23058;0;1;0;0
23062;0;1;0;0
23089;0;1;0;0
23102;0;0;0;0
23123;0;1;0;0
23132;0;0;0;0
23136;0;1;1;0
23147;0;1;0;0
23160;0;0;1;0
23179;0;0;0;0
23185;0;1;1;0
23197;0;1;0;0
23207;0;0;0;0
23216;0;0;0;0
23219;0;1;0;0
23238;0;1;1;0
23242;0;1;0;0
23245;0;0;0;0
23249;0;1;0;0
23273;0;0;0;0
23303;0;0;0;0
23304;0;0;0;0
23307;0;1;0;0
23317;0;0;0;0
23321;0;1;1;0
23341;0;1;0;0
23353;0;0;0;0
23363;0;1;0;0
23364;0;0;0;0
23375;0;0;0;0
23381;0;1;1;0
23382;0;1;0;0
23384;0;0;0;0
23385;0;0;0;0
23386;0;1;0;0
23389;0;0;0;0
23412;0;1;0;0
23415;0;0;0;0
23422;0;0;0;0
23428;0;1;0;0
23431;0;0;0;0
23432;0;1;0;0
23434;0;0;0;0
23449;0;0;0;0
23486;0;1;1;0
23502;0;0;1;0
23554;0;1;0;0
23558;0;1;1;0
23561;0;1;0;0
23661;0;1;0;0
23710;0;1;0;0
23721;0;1;0;0
23726;0;1;1;0
23743;0;0;0;0
23780;0;0;0;0
23823;0;1;1;0
23853;0;1;0;0
23869;0;1;0;0
23874;0;0;1;0
23901;0;1;1;0
23923;0;0;0;0
23958;0;1;0;0
23972;0;1;0;0
24055;0;0;0;0
24061;0;1;0;0
24069;0;1;0;0
24096;0;0;0;0
24131;0;1;0;0
24214;0;1;0;0
24217;0;1;0;0
24223;0;1;0;0
24229;0;1;1;0
24247;0;1;0;0
24250;0;1;1;0
24259;0;0;0;0
24280;0;1;0;0
24291;0;1;0;0
24367;0;1;0;0
24444;0;1;0;0
24478;0;1;1;0
24495;0;1;0;0
24540;0;1;0;0
24624;0;0;0;0
24642;0;1;0;0
24658;0;0;0;0
24673;0;0;0;0
24680;0;0;1;0
24703;0;1;0;0
24716;0;1;1;0
24729;0;1;1;0
24733;0;1;1;0
24746;0;1;0;0
24763;0;0;0;0
24779;0;0;0;0
24789;0;0;0;0
24794;0;0;0;0
24821;0;1;0;0
24844;0;0;1;0
24924;0;1;1;0
24932;0;1;0;0
24940;0;0;0;0
24949;0;1;1;0
24954;0;0;1;0
24966;0;0;0;0
24989;0;0;0;0
24990;0;1;1;0
24998;0;0;0;0
25001;0;1;1;0
25010;0;0;0;0
25011;0;1;0;0
25015;0;0;0;0
25053;0;0;0;0
25059;0;0;0;0
25061;0;0;1;0
25067;0;0;0;0
25071;0;0;1;0
25075;0;1;1;0
25077;0;1;1;0
25081;0;0;0;0
25096;0;1;0;0
25115;0;0;1;0
25118;0;1;1;0
25121;0;0;1;0
25127;0;1;0;0
25130;0;0;0;0
25137;0;1;0;0
25153;0;0;0;0
25154;0;0;1;0
25155;0;0;0;0
25156;0;0;1;0
25158;0;1;0;0
25182;0;0;0;0
25191;0;1;0;0
25194;0;1;0;0
25209;0;0;0;0
25233;0;1;0;0
25236;0;1;1;0
25249;0;0;0;0
25251;0;0;0;0
25256;0;0;0;0
25262;0;1;0;0
25275;0;0;0;0
25282;0;0;1;0
25283;0;0;0;0
25290;0;0;0;0
25307;0;1;1;0
25317;0;0;0;0
25320;0;0;0;0
25331;0;0;0;0
25341;0;0;1;0
25348;0;0;1;0
25353;0;1;1;0
25355;0;0;1;0
25365;0;1;0;0
25371;0;0;0;0
25372;0;1;0;0
25378;0;1;1;0
25383;0;1;0;0
25385;0;1;1;0
25387;0;0;1;0
25389;0;0;0;0
25392;0;0;0;0
25415;0;1;0;0
25428;0;0;0;0
25431;0;1;0;0
25432;0;1;0;0
25435;0;1;0;0
25456;0;0;1;0
25466;0;1;1;0
25468;0;0;0;0
25469;0;0;0;0
25482;0;0;0;0
25503;0;1;1;0
25511;0;1;0;1
25517;0;0;0;0
25519;0;1;0;0
25527;0;0;0;0
25529;0;0;0;0
25530;0;1;1;0
25546;0;0;0;0
25567;0;1;0;0
25570;0;1;1;0
25575;0;0;0;0
25576;0;1;1;0
25579;0;1;1;0
25581;0;1;0;0
25582;0;1;0;1
25600;0;1;0;0
25602;0;1;1;0
25618;0;1;0;0
25619;0;0;0;0
25622;0;0;0;0
25625;0;1;0;0
25633;0;0;0;0
25638;0;0;0;0
25652;0;0;0;0
25662;0;0;0;0
25663;0;0;0;0
25667;0;0;0;0
25671;0;1;1;0
25674;0;0;0;0
25677;0;0;1;0
25679;0;1;0;0
25686;0;1;0;0
25688;0;0;1;0
25690;0;1;1;0
25694;0;0;0;0
25696;0;0;0;0
25699;0;1;0;0
25702;0;1;0;0
25707;0;0;0;0
25710;0;0;0;0
25711;0;1;0;0
25745;0;1;0;0
25746;0;1;1;0
25749;0;0;0;0
25753;0;0;1;0
25755;0;0;0;0
25756;0;0;0;0
25762;0;0;0;0
25764;0;1;1;0
25765;0;0;0;0
25768;0;1;0;0
25772;0;1;0;0
25778;0;1;0;0
25782;0;1;1;0
25790;0;0;0;0
25791;0;0;0;0
25794;0;0;0;0
25795;0;0;0;0
25802;0;0;0;0
25805;0;0;0;0
25815;0;0;0;0
25816;0;1;0;0
25828;0;0;0;0
25834;0;0;1;0
25841;0;0;0;0
25842;0;0;0;0
25847;0;1;1;0
25848;0;1;0;0
25854;0;1;0;0
25856;0;1;1;0
25857;0;1;1;0
25860;0;1;1;0
25867;0;0;0;0
25878;0;1;0;0
25880;0;1;1;0
25883;0;1;0;0
25884;0;0;1;0
25891;0;1;1;0
25894;0;1;0;0
25896;0;0;0;0
25901;0;0;0;0
25903;0;0;0;0
25911;0;1;1;0
25913;0;1;1;0
25927;0;0;0;0
25945;0;0;0;0
25948;0;1;0;0
25969;0;1;1;0
25976;0;0;1;0
25979;0;0;1;0
25991;0;1;0;0
25994;0;0;0;0
25995;0;1;0;0
25996;0;0;0;0
26002;0;0;0;0
26004;0;1;0;0
26022;0;1;1;0
26025;0;0;0;0
26027;0;1;1;0
26029;0;0;1;0
26031;0;1;0;0
26037;0;1;1;0
26044;0;1;0;0
26045;0;0;0;0
26054;0;0;0;0
26059;0;1;1;0
26061;0;1;0;0
26065;0;1;1;0
26073;0;1;1;0
26074;0;0;0;0
26082;0;1;1;0
26088;0;1;0;0
26091;0;0;0;0
26099;0;1;0;0
26103;0;1;0;0
26109;0;0;0;0
26118;0;0;0;0
26120;0;1;0;0
26121;0;1;0;0
26122;0;0;0;0
26145;0;0;0;0
26148;0;1;1;0
26160;0;1;0;0
26161;0;1;0;0
26170;0;0;0;0
26172;0;0;0;0
26176;0;1;0;0
26177;0;1;1;0
26181;0;1;0;0
26185;0;1;1;0
26191;0;0;0;0
26192;0;1;0;0
26193;0;0;0;0
26205;0;0;0;0
26207;0;0;1;0
26209;0;0;1;0
26217;0;1;1;0
26220;0;0;0;0
26238;0;0;0;0
26246;0;0;0;0
26250;0;1;0;0
26251;0;0;1;0
26252;0;0;0;0
26255;0;0;1;0
26258;0;0;1;0
26261;0;0;0;1
26263;0;0;1;0
26266;0;1;1;0
26269;0;1;0;0
26273;0;0;0;0
26275;0;1;1;0
26283;0;0;1;0
26291;0;0;0;0
26298;0;1;0;0
26304;0;1;1;0
26318;0;1;0;0
26325;0;1;1;0
26329;0;0;0;0
26332;0;1;1;0
26339;0;0;0;1
26347;0;0;0;0
26351;0;1;0;0
26353;0;0;0;0
26360;0;0;0;0
26367;0;1;1;0
26370;0;0;1;0
26373;0;0;0;0
26374;0;1;0;0
26376;0;0;0;0
26383;0;0;0;0
26385;0;0;1;0
26386;0;1;1;0
26387;0;0;0;0
26388;0;1;0;0
26390;0;1;0;0
26408;0;1;0;0
26417;0;0;0;0
26418;0;1;0;0
26420;0;0;0;0
26442;0;1;1;0
26482;0;1;0;0
26504;0;1;0;0
26507;0;0;0;0
26511;0;1;0;0
26515;0;1;0;0
26523;0;1;0;0
26527;0;0;0;0
26544;0;1;0;0
26547;0;1;1;0
26552;0;0;0;0
26557;0;0;0;0
26595;0;0;0;0
26617;0;0;0;0
26627;0;1;0;0
26644;0;1;0;0
26666;0;0;0;0
26683;0;1;0;0
26703;0;0;0;1
26719;0;1;0;0
26721;0;1;1;0
26728;0;1;0;1
26730;0;1;1;0
26740;0;0;0;0
26741;0;0;0;0
26743;0;1;0;0
26755;0;1;0;0
26756;0;1;0;0
26772;0;1;0;0
26780;0;1;0;0
26798;0;0;0;0
26803;0;1;0;0
26804;0;0;0;0
26818;0;1;0;0
26825;0;1;0;0
26832;0;1;1;0
26834;0;0;0;0
26837;0;1;0;0
26839;0;1;0;0
26848;0;1;0;0
26868;0;1;0;0
26877;0;1;0;0
26883;0;1;0;0
26895;0;1;0;0
26898;0;0;0;0
26899;0;1;0;0
26902;0;1;0;0
26910;0;0;0;0
26921;0;1;0;0
26928;0;1;0;0
26933;0;1;0;0
26936;0;1;1;0
26950;0;0;0;0
26951;0;1;0;0
26968;0;1;0;0
26970;0;1;0;0
26974;0;1;0;0
26975;0;1;0;0
26977;0;0;0;0
26978;0;1;0;1
26980;0;0;0;0
27013;0;0;0;0
27018;0;1;1;0
27031;0;0;0;0
27032;0;1;0;0
27047;0;1;0;0
27054;0;1;0;0
27071;0;1;0;0
27093;0;1;0;0
27110;0;1;0;0
27114;0;1;0;1
27115;0;1;1;0
27126;0;1;0;0
27133;0;1;0;0
27136;0;1;1;0
27159;0;1;1;0
27165;0;1;0;0
27173;0;1;0;0
27188;0;0;0;0
27191;0;1;0;0
27208;0;1;0;0
27217;0;1;0;0
27219;0;0;0;0
27225;0;1;1;0
27238;0;1;0;0
27240;0;0;0;0
27244;0;0;0;0
27272;0;1;0;0
27274;0;0;0;0
27292;0;1;0;0
27302;0;1;0;0
27303;0;1;0;0
27308;0;1;0;0
27331;0;1;0;0
27332;0;1;0;0
27340;0;1;0;0
27346;0;1;0;0
27353;0;0;0;0
27358;0;1;0;0
27371;0;1;0;0
27375;0;0;0;0
27384;0;1;0;0
27387;0;0;0;0
27395;0;0;0;0
27398;0;1;0;0
27412;0;1;0;0
27418;0;0;0;1
27429;0;1;0;0
27461;0;0;0;0
27465;0;1;0;0
27474;0;1;0;0
27479;0;1;0;0
27492;0;1;0;1
27496;0;1;0;0
27566;0;1;1;0
27568;0;1;1;0
27572;0;1;0;0
27583;0;1;1;0
27618;0;1;0;1
27641;0;1;0;0
27660;0;1;0;0
27681;0;1;0;0
27688;0;1;0;0
27690;0;1;1;0
27700;0;0;0;1
27730;0;1;1;0
27733;0;1;0;0
27739;0;0;0;0
27744;0;1;0;1
27747;0;1;0;0
27754;0;1;0;0
27779;0;1;0;0
27795;0;1;0;0
27814;0;0;0;0
27817;0;1;0;0
27819;0;0;0;1
27821;0;0;0;0
27835;0;1;1;0
27841;0;1;0;0
27847;0;1;0;0
27871;0;1;1;0
27875;0;0;0;0
27939;0;0;0;0
27955;0;0;0;0
27981;0;1;0;0
28026;0;1;0;0
28051;0;1;0;0
28118;0;1;0;0
28119;0;1;1;0
28121;0;1;0;0
28136;0;0;0;0
28154;0;0;0;0
28210;0;1;0;0
28249;0;1;0;0
28270;0;0;0;0
28336;0;1;1;0
28339;0;1;1;0
28349;0;1;1;0
28372;0;1;0;0
28388;0;1;1;0
28390;0;1;0;0
28407;0;0;0;0
28410;0;1;1;0
28430;0;1;0;0
28431;0;0;0;0
28432;0;1;1;0
28439;0;1;0;0
28453;0;1;0;0
28470;0;1;0;0
28471;0;1;0;0
28479;0;1;0;0
28503;0;1;0;0
28515;0;1;0;0
28529;0;1;0;0
28542;0;1;1;0
28544;0;0;0;0
28547;0;1;1;0
28559;0;0;0;0
28568;0;1;0;0
28586;0;1;0;0
28588;0;1;1;0
28591;0;1;0;0
28603;0;1;0;0
28614;0;1;0;0
28629;0;1;0;0
28640;0;1;1;0
28679;0;1;1;0
28713;0;1;1;0
28718;0;1;1;0
28719;0;0;0;0
28724;0;1;0;0
28729;0;1;1;0
28733;0;1;1;0
28736;0;1;0;0
28740;0;1;1;0
28761;0;0;1;0
28764;0;1;0;0
28765;0;1;0;0
28769;0;1;1;0
28778;0;1;1;0
28799;0;1;1;0
28801;0;1;0;0
28804;0;1;0;0
28818;0;1;1;0
28835;0;0;0;0
28846;0;1;1;0
28848;0;1;1;0
28851;0;1;0;0
28869;0;1;0;0
28871;0;1;1;0
28875;0;1;0;0
28882;0;0;0;0
28889;0;1;0;0
28898;0;1;1;0
28906;0;1;0;0
28908;0;1;0;0
28909;0;1;0;0
28910;0;1;0;0
28911;0;1;0;0
28913;0;1;0;0
28915;0;1;0;0
28916;0;1;1;0
28924;0;1;1;0
28931;0;1;0;0
28939;0;1;1;0
28941;0;1;0;0
28961;0;1;0;0
28977;0;1;0;0
28978;0;1;0;0
28984;0;1;0;0
28990;0;1;1;0
28995;0;1;0;0
29005;0;0;0;0
29007;0;1;0;0
29019;0;1;0;0
29031;0;1;1;0
29032;0;1;1;0
29036;0;1;1;0
29051;0;1;0;0
29057;0;1;0;0
29060;0;1;1;0
29063;0;1;0;0
29067;0;1;0;0
29079;0;1;0;0
29091;0;1;0;0
29092;0;0;0;0
29100;0;0;0;0
29102;0;1;0;0
29128;0;0;0;0
29139;0;1;1;0
29140;0;1;1;0
29143;0;1;0;0
29145;0;1;1;0
29171;0;1;1;0
29174;0;1;0;0
29180;0;1;1;0
29189;0;1;0;0
29194;0;1;0;0
29199;0;1;0;0
29208;0;1;1;0
29214;0;1;0;0
29215;0;1;0;0
29219;0;1;0;0
29231;0;1;0;0
29237;0;1;0;0
29242;0;1;0;0
29243;0;1;0;0
29250;0;1;1;0
29256;0;1;0;0
29286;0;1;0;0
29292;0;1;0;0
29307;0;1;0;0
29318;0;0;0;0
29326;0;1;0;0
29327;0;1;0;0
29344;0;1;0;0
29349;0;1;0;0
29361;0;1;0;0
29365;0;1;0;0
29370;0;1;0;0
29377;0;1;0;0
29378;0;1;0;0
29381;0;1;0;0
29383;0;1;0;0
29400;0;1;1;0
29414;0;1;0;0
29428;0;1;0;0
29431;0;1;0;0
29440;0;1;0;0
29467;0;1;1;0
29476;0;1;1;0
29481;0;1;0;0
29487;0;1;1;0
29498;0;1;0;0
29507;0;1;0;0
29518;0;1;0;0
29519;0;1;0;0
29546;0;1;0;0
29550;0;1;0;0
29564;0;0;0;0
29565;0;1;1;0
